id,category,tier,points,question,option_a,option_b,option_c,option_d,correct_index,correct_answer
sport-3-1,sport,3,300,"كم يبلغ وزن كرة القدم القانونية بالجرام؟","350-390","410-450","460-500","510-550",1,"410-450"
sport-3-2,sport,3,300,"من أول فريق سعودي يفوز بدوري أبطال آسيا؟","الهلال","الاتحاد","الأهلي","الشباب",0,"الهلال"
sport-3-3,sport,3,300,"في أي عام أُقيمت أول بطولة كأس عالم؟","1926","1928","1930","1934",2,"1930"
sport-3-4,sport,3,300,"من هو أول لاعب كويتي يحترف في أوروبا؟","بدر المطوع","بشار عبدالله","جاسم الهويدي","فهد العنزي",0,"بدر المطوع"
sport-3-5,sport,3,300,"ما هو ارتفاع شبكة التنس بالسنتيمتر في الوسط؟","84","91.4","100","107",1,"91.4"
sport-3-6,sport,3,300,"كم عدد الميداليات الذهبية التي حصدها أوسين بولت؟","6","7","8","9",2,"8"
history-1-1,history,1,100,"متى فُتحت مكة المكرمة؟","6 هجري","7 هجري","8 هجري","9 هجري",2,"8 هجري"
history-1-2,history,1,100,"من هو أول خليفة راشد؟","عمر بن الخطاب","أبو بكر الصديق","عثمان بن عفان","علي بن أبي طالب",1,"أبو بكر الصديق"
history-1-3,history,1,100,"في أي قرن سقطت الأندلس؟","الثالث عشر","الرابع عشر","الخامس عشر","السادس عشر",2,"الخامس عشر"
history-1-4,history,1,100,"ما اسم أول جامعة في العالم الإسلامي؟","الأزهر","القرويين","الزيتونة","النظامية",1,"القرويين"
history-1-5,history,1,100,"من بنى الأهرامات في مصر؟","الرومان","الفراعنة","العرب","اليونان",1,"الفراعنة"
history-1-6,history,1,100,"ما اسم المعركة التي انتصر فيها صلاح الدين؟","اليرموك","القادسية","حطين","عين جالوت",2,"حطين"
history-2-1,history,2,200,"في أي عام تأسست دولة الكويت الحديثة؟","1752","1856","1899","1961",3,"1961"
history-2-2,history,2,200,"من هو القائد المسلم الذي فتح القسطنطينية؟","صلاح الدين","محمد الفاتح","طارق بن زياد","خالد بن الوليد",1,"محمد الفاتح"
history-2-3,history,2,200,"ما هو أقدم حضارة في بلاد الرافدين؟","الآشورية","البابلية","السومرية","الأكادية",2,"السومرية"
history-2-4,history,2,200,"في أي عام انتهت الحرب العالمية الثانية؟","1943","1944","1945","1946",2,"1945"
history-2-5,history,2,200,"من هو مؤسس الدولة الأموية؟","عبدالملك بن مروان","معاوية بن أبي سفيان","يزيد بن معاوية","مروان بن الحكم",1,"معاوية بن أبي سفيان"
history-2-6,history,2,200,"ما هو اسم أول سفينة فضاء مأهولة؟","أبولو","فوستوك","جيمناي","ميركوري",1,"فوستوك"
history-3-1,history,3,300,"في أي عام وُقّعت معاهدة سايكس بيكو؟","1914","1916","1918","1920",1,"1916"
history-3-2,history,3,300,"من هو آخر سلطان عثماني؟","عبدالحميد الثاني","محمد السادس","مراد الخامس","سليم الثالث",1,"محمد السادس"
history-3-3,history,3,300,"ما اسم المعركة البحرية الشهيرة عام 1571؟","ذات الصواري","ليبانتو","ترافالغار","سلاميس",1,"ليبانتو"
history-3-4,history,3,300,"كم سنة حكم العباسيون؟","300 سنة","400 سنة","500 سنة","600 سنة",2,"500 سنة"
history-3-5,history,3,300,"في أي عام اكتُشفت أمريكا؟","1490","1492","1495","1498",1,"1492"
history-3-6,history,3,300,"من هو أول من دار حول الكرة الأرضية؟","كولومبوس","ماجلان","فاسكو دا غاما","كوك",1,"ماجلان"
quran-1-1,quran,1,100,"ما هي أطول سورة في القرآن الكريم؟","آل عمران","البقرة","النساء","المائدة",1,"البقرة"
quran-1-2,quran,1,100,"كم عدد أركان الإسلام؟","ثلاثة","أربعة","خمسة","ستة",2,"خمسة"
quran-1-3,quran,1,100,"ما هي السورة التي تُقرأ في كل ركعة؟","الإخلاص","الفاتحة","الناس","الفلق",1,"الفاتحة"
quran-1-4,quran,1,100,"كم عدد سور القرآن الكريم؟","100","110","114","120",2,"114"
quran-1-5,quran,1,100,"ما هو أول شهر في التقويم الهجري؟","صفر","محرم","ربيع الأول","رجب",1,"محرم"
quran-1-6,quran,1,100,"من هو خاتم الأنبياء والمرسلين؟","عيسى","موسى","إبراهيم","محمد ﷺ",3,"محمد ﷺ"
quran-2-1,quran,2,200,"كم عدد أجزاء القرآن الكريم؟","20","25","30","35",2,"30"
quran-2-2,quran,2,200,"ما هي السورة التي تُسمى قلب القرآن؟","البقرة","يس","الرحمن","الملك",1,"يس"
quran-2-3,quran,2,200,"كم مرة ذُكر اسم النبي محمد في القرآن؟","مرتين","ثلاث مرات","أربع مرات","خمس مرات",2,"أربع مرات"
quran-2-4,quran,2,200,"ما هي السورة التي لا تبدأ بالبسملة؟","الفاتحة","البقرة","التوبة","يس",2,"التوبة"
quran-2-5,quran,2,200,"من هو النبي الذي ابتلعه الحوت؟","نوح","يونس","أيوب","إلياس",1,"يونس"
quran-2-6,quran,2,200,"كم عدد الصلوات المفروضة في اليوم؟","ثلاث","أربع","خمس","ست",2,"خمس"
quran-3-1,quran,3,300,"ما هي أقصر سورة في القرآن الكريم؟","الإخلاص","الكوثر","الفلق","الناس",1,"الكوثر"
quran-3-2,quran,3,300,"كم عدد آيات سورة البقرة؟","276","280","286","290",2,"286"
quran-3-3,quran,3,300,"ما هي السورة التي تُسمى عروس القرآن؟","يس","الرحمن","الملك","البقرة",1,"الرحمن"
quran-3-4,quran,3,300,"من هو النبي الملقب بذي النون؟","إلياس","يونس","إدريس","هود",1,"يونس"
quran-3-5,quran,3,300,"كم مرة ذُكرت كلمة ""الجنة"" في القرآن تقريباً؟","50","66","77","90",1,"66"
quran-3-6,quran,3,300,"ما هي السورة التي تعدل ثلث القرآن؟","الفاتحة","يس","الإخلاص","الملك",2,"الإخلاص"
gulf-1-1,gulf,1,100,"ما هي عملة دولة الكويت؟","الريال","الدرهم","الدينار","الجنيه",2,"الدينار"
gulf-1-2,gulf,1,100,"كم عدد الإمارات في دولة الإمارات؟","خمس","ست","سبع","ثمان",2,"سبع"
gulf-1-3,gulf,1,100,"ما هي أكبر دولة خليجية مساحةً؟","الكويت","عمان","السعودية","الإمارات",2,"السعودية"
gulf-1-4,gulf,1,100,"ما هو المشروب التقليدي في الخليج؟","الشاي الأخضر","القهوة العربية","العصير","الحليب",1,"القهوة العربية"
gulf-1-5,gulf,1,100,"ما اسم اللباس التقليدي الرجالي في الخليج؟","الثوب","الجلابية","القفطان","السروال",0,"الثوب"
gulf-1-6,gulf,1,100,"في أي دولة يقع برج خليفة؟","السعودية","الكويت","الإمارات","قطر",2,"الإمارات"
gulf-2-1,gulf,2,200,"ما اسم العملة القديمة قبل الدينار الكويتي؟","الروبية","القرش","الريال","الفلس",0,"الروبية"
gulf-2-2,gulf,2,200,"ما هي السنة التي استقلت فيها الكويت؟","1959","1960","1961","1962",2,"1961"
gulf-2-3,gulf,2,200,"ما هو اسم المجلس التقليدي في الكويت؟","المجلس","الديوانية","الملتقى","المنتدى",1,"الديوانية"
gulf-2-4,gulf,2,200,"أي مدينة سعودية تُلقب بعروس البحر الأحمر؟","الرياض","الدمام","جدة","المدينة",2,"جدة"
gulf-2-5,gulf,2,200,"ما هو اسم أشهر سوق تقليدي في الكويت؟","سوق واقف","سوق المباركية","سوق الذهب","سوق الحريم",1,"سوق المباركية"
gulf-2-6,gulf,2,200,"متى تأسس مجلس التعاون الخليجي؟","1979","1981","1983","1985",1,"1981"
gulf-3-1,gulf,3,300,"ما هو أول حقل نفطي اكتُشف في الكويت؟","الأحمدي","برقان","الروضتين","المقوع",1,"برقان"
gulf-3-2,gulf,3,300,"كم عدد جزر مملكة البحرين تقريباً؟","15","23","33","43",2,"33"
gulf-3-3,gulf,3,300,"ما اسم أقدم مسجد في الكويت؟","مسجد الدولة","المسجد الكبير","مسجد ابن بطوطة","مسجد الخليفة",0,"مسجد الدولة"
gulf-3-4,gulf,3,300,"في أي عام افتُتح جسر الملك فهد؟","1984","1986","1988","1990",1,"1986"
gulf-3-5,gulf,3,300,"ما هو اسم أول حاكم لإمارة الكويت؟","صباح الأول","مبارك الكبير","عبدالله الصباح","جابر الصباح",0,"صباح الأول"
gulf-3-6,gulf,3,300,"كم تبلغ مساحة دولة الكويت بالكيلومتر المربع تقريباً؟","13,000","15,000","17,818","20,000",2,"17,818"
science-1-1,science,1,100,"ما هو الغاز الذي نتنفسه؟","النيتروجين","الأكسجين","الهيدروجين","الهيليوم",1,"الأكسجين"
science-1-2,science,1,100,"كم عدد كواكب المجموعة الشمسية؟","6","7","8","9",2,"8"
science-1-3,science,1,100,"ما هو أقرب كوكب للشمس؟","الزهرة","عطارد","المريخ","الأرض",1,"عطارد"
science-1-4,science,1,100,"ما هي درجة غليان الماء؟","80°C","90°C","100°C","110°C",2,"100°C"
science-1-5,science,1,100,"ما هو أصلب مادة طبيعية؟","الحديد","الذهب","الألماس","النحاس",2,"الألماس"
science-1-6,science,1,100,"ما هو العضو المسؤول عن ضخ الدم؟","الرئة","الكبد","القلب","الكلى",2,"القلب"
science-2-1,science,2,200,"ما هو الرمز الكيميائي للماء؟","CO2","H2O","NaCl","O2",1,"H2O"
science-2-2,science,2,200,"كم تبلغ سرعة الضوء تقريباً بالكم/ث؟","200,000","250,000","300,000","350,000",2,"300,000"
science-2-3,science,2,200,"من هو مكتشف قوة الجاذبية؟","أينشتاين","نيوتن","غاليليو","كوبرنيكوس",1,"نيوتن"
science-2-4,science,2,200,"ما هو أكبر عضو في جسم الإنسان؟","الكبد","الرئة","الجلد","الأمعاء",2,"الجلد"
science-2-5,science,2,200,"ما هي وحدة قياس شدة التيار الكهربائي؟","فولت","أمبير","أوم","واط",1,"أمبير"
science-2-6,science,2,200,"كم عدد العناصر في الجدول الدوري تقريباً؟","100","108","118","125",2,"118"
science-3-1,science,3,300,"ما هو الحمض النووي الذي يحمل المعلومات الوراثية؟","RNA","DNA","ATP","ADP",1,"DNA"
science-3-2,science,3,300,"ما هي أثقل مادة طبيعية على الأرض؟","الذهب","البلاتين","الأوزميوم","الرصاص",2,"الأوزميوم"
science-3-3,science,3,300,"كم يبلغ عمر الأرض تقريباً بمليارات السنين؟","3.5","4.0","4.5","5.0",2,"4.5"
science-3-4,science,3,300,"ما هي الوحدة المستخدمة لقياس المقاومة الكهربائية؟","أمبير","فولت","أوم","واط",2,"أوم"
science-3-5,science,3,300,"ما اسم أول عنصر في الجدول الدوري؟","الهيليوم","الهيدروجين","الليثيوم","الكربون",1,"الهيدروجين"
science-3-6,science,3,300,"ما هو العالم المسلم الذي يُعتبر أبو الكيمياء؟","الخوارزمي","جابر بن حيان","ابن سينا","ابن الهيثم",1,"جابر بن حيان"
geo-1-1,geo,1,100,"ما هي أكبر قارة في العالم؟","أفريقيا","أمريكا الشمالية","آسيا","أوروبا",2,"آسيا"
geo-1-2,geo,1,100,"في أي قارة تقع مصر؟","آسيا","أوروبا","أفريقيا","أمريكا",2,"أفريقيا"
geo-1-3,geo,1,100,"ما هو أعلى جبل في العالم؟","كلمنجارو","إيفرست","مون بلان","K2",1,"إيفرست"
geo-1-4,geo,1,100,"ما هو أكبر محيط في العالم؟","الأطلسي","الهندي","الهادئ","المتجمد الشمالي",2,"الهادئ"
geo-1-5,geo,1,100,"ما هي عاصمة فرنسا؟","لندن","برلين","مدريد","باريس",3,"باريس"
geo-1-6,geo,1,100,"كم عدد القارات في العالم؟","5","6","7","8",2,"7"
geo-2-1,geo,2,200,"ما هو البحر الذي يفصل بين أوروبا وأفريقيا؟","الأحمر","المتوسط","الأسود","قزوين",1,"المتوسط"
geo-2-2,geo,2,200,"ما هي أكبر دولة في أفريقيا مساحةً؟","مصر","السودان","الجزائر","ليبيا",2,"الجزائر"
geo-2-3,geo,2,200,"في أي دولة يقع أعلى شلال في العالم؟","البرازيل","فنزويلا","الأرجنتين","كولومبيا",1,"فنزويلا"
geo-2-4,geo,2,200,"ما هي أصغر دولة في العالم؟","موناكو","الفاتيكان","سان مارينو","لوكسمبورغ",1,"الفاتيكان"
geo-2-5,geo,2,200,"ما هو أطول نهر في آسيا؟","الغانج","اليانغتسي","الميكونغ","السند",1,"اليانغتسي"
geo-2-6,geo,2,200,"ما هي الدولة العربية الوحيدة في أمريكا الجنوبية؟","لا توجد","سورينام","غيانا","البرازيل",0,"لا توجد"
geo-3-1,geo,3,300,"ما هو أعمق نقطة في المحيط؟","خندق ماريانا","خندق تونغا","خندق بورتوريكو","خندق الفلبين",0,"خندق ماريانا"
geo-3-2,geo,3,300,"كم عدد الدول العربية؟","18","20","22","24",2,"22"
geo-3-3,geo,3,300,"ما هي الدولة التي لها حدود مع أكبر عدد من الدول؟","روسيا","الصين","البرازيل","ألمانيا",1,"الصين"
geo-3-4,geo,3,300,"ما هو البحر الأكثر ملوحة في العالم؟","البحر الميت","البحر الأحمر","بحر قزوين","البحر الأسود",0,"البحر الميت"
geo-3-5,geo,3,300,"ما هي عاصمة كازاخستان؟","ألماتي","أستانا","بيشكك","طشقند",1,"أستانا"
geo-3-6,geo,3,300,"كم يبلغ محيط الكرة الأرضية تقريباً بالكيلومتر؟","30,000","35,000","40,075","45,000",2,"40,075"
food-1-1,food,1,100,"ما هي الأكلة الشهيرة في الكويت التي تُحضّر من الأرز واللحم؟","الكبسة","المچبوس","المندي","البرياني",1,"المچبوس"
food-1-2,food,1,100,"ما هو المكون الأساسي في الحمص؟","الفول","الحمص","العدس","اللوبيا",1,"الحمص"
food-1-3,food,1,100,"من أي بلد أصل البيتزا؟","فرنسا","إيطاليا","إسبانيا","اليونان",1,"إيطاليا"
food-1-4,food,1,100,"ما هو المشروب الساخن الأكثر شُرباً في العالم؟","القهوة","الشاي","الحليب","الكاكاو",1,"الشاي"
food-1-5,food,1,100,"ما هي الفاكهة التي تُسمى ملكة الفواكه؟","التفاح","المانجو","الفراولة","البرتقال",1,"المانجو"
food-1-6,food,1,100,"ما هو الطعام الرئيسي في اليابان؟","المعكرونة","الأرز","الخبز","البطاطا",1,"الأرز"
food-2-1,food,2,200,"ما هي الأكلة الكويتية المصنوعة من القمح واللحم المهروس؟","الهريس","الجريش","المطبق","القبوط",0,"الهريس"
food-2-2,food,2,200,"من أي دولة أصل طبق السوشي؟","الصين","كوريا","اليابان","تايلاند",2,"اليابان"
food-2-3,food,2,200,"ما هو التوابل الأغلى في العالم؟","الفلفل","الزعفران","القرفة","الكركم",1,"الزعفران"
food-2-4,food,2,200,"ما اسم الخبز الهندي التقليدي؟","التورتيلا","النان","الباغيت","الفوكاتشا",1,"النان"
food-2-5,food,2,200,"أي فيتامين يوجد بكثرة في البرتقال؟","A","B","C","D",2,"C"
food-2-6,food,2,200,"ما اسم الحلوى الخليجية المصنوعة من التمر والسمسم؟","الرنجينة","اللقيمات","البلاليط","الخنفروش",0,"الرنجينة"
food-3-1,food,3,300,"ما هي البهارات الأربعة الأساسية في المطبخ الكويتي؟","ملح، فلفل، كركم، بزار","ملح، فلفل، قرفة، هال","ملح، كمون، فلفل، بابريكا","ملح، زعتر، سماق، فلفل",0,"ملح، فلفل، كركم، بزار"
food-3-2,food,3,300,"من أي بلد أصل طبق الطاجين؟","تونس","الجزائر","المغرب","ليبيا",2,"المغرب"
food-3-3,food,3,300,"ما هي درجة حرارة فرن البيتزا الإيطالية التقليدية؟","200°C","300°C","400°C","480°C",3,"480°C"
food-3-4,food,3,300,"ما اسم الصلصة اليابانية المصنوعة من فول الصويا؟","واسابي","صويا صوص","ميسو","تيرياكي",1,"صويا صوص"
food-3-5,food,3,300,"كم عدد السعرات الحرارية تقريباً في كوب أرز مطبوخ؟","100","150","200","250",2,"200"
food-3-6,food,3,300,"ما هو الاسم الآخر للبامية في اللهجة الكويتية؟","الويكة","المرقوق","البامية","الملوخية",0,"الويكة"
drama-1-1,drama,1,100,"ما اسم المسلسل الكويتي الشهير عن الغوص؟","بوكريم","درب الزلق","الأصدقاء","ساهر الليل",0,"بوكريم"
drama-1-2,drama,1,100,"من هو بطل مسلسل ""باب الحارة""؟","تيم حسن","عابد فهد","باسم ياخور","وائل شرف",0,"تيم حسن"
drama-1-3,drama,1,100,"في أي بلد يُنتج مسلسل ""الهيبة""؟","مصر","سوريا","لبنان","الأردن",2,"لبنان"
drama-1-4,drama,1,100,"ما هو أشهر مسلسل كرتون عربي؟","غريندايزر","سندباد","كابتن ماجد","بكار",2,"كابتن ماجد"
drama-1-5,drama,1,100,"من هو الممثل الكويتي صاحب شخصية ""أم سعود""؟","طارق العلي","حسن البلام","عبدالحسين عبدالرضا","سعد الفرج",1,"حسن البلام"
drama-1-6,drama,1,100,"ما اسم أشهر مسلسل كوميدي كويتي؟","درب الزلق","خالتي قماشة","بوكريم","الأصدقاء",0,"درب الزلق"
drama-2-1,drama,2,200,"من هو مخرج فيلم ""ذيب"" الأردني؟","ناجي أبونوار","يوسف شاهين","هاني أبو أسعد","نادين لبكي",0,"ناجي أبونوار"
drama-2-2,drama,2,200,"ما اسم الممثلة الكويتية الشهيرة بدور ""أم العيال""؟","حياة الفهد","سعاد عبدالله","هدى حسين","مريم الغضبان",0,"حياة الفهد"
drama-2-3,drama,2,200,"في أي سنة عُرض أول فيلم عربي؟","1920","1926","1932","1940",1,"1926"
drama-2-4,drama,2,200,"ما اسم المسلسل الكوري الأشهر عربياً؟","بارازايت","لعبة الحبار","أرض المعجزات","الوريث",1,"لعبة الحبار"
drama-2-5,drama,2,200,"من هو صاحب مقولة ""يا عيني يا ليل"" في الدراما الكويتية؟","عبدالحسين عبدالرضا","سعد الفرج","محمد المنصور","غانم الصالح",0,"عبدالحسين عبدالرضا"
drama-2-6,drama,2,200,"ما هي أول قناة تلفزيونية كويتية؟","قناة العربي","تلفزيون الكويت","قناة الراي","قناة سكوب",1,"تلفزيون الكويت"
drama-3-1,drama,3,300,"كم عدد مواسم مسلسل ""Game of Thrones""؟","6","7","8","9",2,"8"
drama-3-2,drama,3,300,"من هو أول ممثل عربي يفوز بجائزة أوسكار؟","عمر الشريف","لم يفز أحد","راني المصري","زكي رستم",1,"لم يفز أحد"
drama-3-3,drama,3,300,"ما اسم أول مسلسل كويتي تلفزيوني؟","أرض الطيبين","بيت الأشباح","أولاد الشوارع","الغريب",0,"أرض الطيبين"
drama-3-4,drama,3,300,"في أي عام تأسس مهرجان كان السينمائي؟","1939","1946","1950","1955",1,"1946"
drama-3-5,drama,3,300,"ما هو الفيلم العربي الذي رُشح للأوسكار أكثر من مرة؟","الرسالة","عمر المختار","ذيب","كفرناحوم",3,"كفرناحوم"
drama-3-6,drama,3,300,"من هو مؤلف المسلسل الكويتي ""درب الزلق""؟","عبدالأمير التركي","عبدالحسين عبدالرضا","طارق العلي","صقر الرشود",0,"عبدالأمير التركي"
music-1-1,music,1,100,"من هي أم كلثوم؟","ممثلة","مطربة","شاعرة","رسامة",1,"مطربة"
music-1-2,music,1,100,"ما هي الآلة الموسيقية ذات الأوتار الشرقية الشهيرة؟","البيانو","العود","الناي","الطبل",1,"العود"
music-1-3,music,1,100,"من هو ""فنان العرب""؟","عبدالحليم حافظ","محمد عبده","كاظم الساهر","وائل كفوري",1,"محمد عبده"
music-1-4,music,1,100,"كم عدد أوتار الجيتار العادي؟","4","5","6","7",2,"6"
music-1-5,music,1,100,"من هو ""العندليب الأسمر""؟","فريد الأطرش","عبدالحليم حافظ","محمد فوزي","فيروز",1,"عبدالحليم حافظ"
music-1-6,music,1,100,"ما اسم الآلة الإيقاعية الشهيرة في الخليج؟","الطبلة","المرواس","الدف","الطار",1,"المرواس"
music-2-1,music,2,200,"من هو ملحن أغنية ""يا ظلام السجن""؟","رياض السنباطي","محمد القصبجي","محمد عبدالوهاب","بليغ حمدي",2,"محمد عبدالوهاب"
music-2-2,music,2,200,"ما هو الفن الشعبي الكويتي المصاحب للبحر؟","السامري","الفجري","العرضة","الخماري",1,"الفجري"
music-2-3,music,2,200,"في أي دولة نشأ فن الراب؟","فرنسا","أمريكا","بريطانيا","جامايكا",1,"أمريكا"
music-2-4,music,2,200,"من هو الفنان الكويتي الملقب بـ""عود الكويت""؟","عبدالله الرويشد","نبيل شعيل","عبدالكريم عبدالقادر","شادي الخليج",2,"عبدالكريم عبدالقادر"
music-2-5,music,2,200,"ما هي الموسيقى التي تُعزف في حفلات الزفاف الخليجية؟","الجاز","السامري","الأوبرا","الفلامنكو",1,"السامري"
music-2-6,music,2,200,"كم عدد مفاتيح البيانو الكاملة؟","66","76","88","96",2,"88"
music-3-1,music,3,300,"من هو مؤلف السيمفونية التاسعة الشهيرة؟","موزارت","باخ","بيتهوفن","شوبان",2,"بيتهوفن"
music-3-2,music,3,300,"ما هو المقام الموسيقي العربي الأكثر استخداماً؟","الحجاز","الراست","البياتي","النهاوند",1,"الراست"
music-3-3,music,3,300,"في أي عام صدرت أول أغنية مسجلة في الكويت؟","1927","1940","1951","1960",2,"1951"
music-3-4,music,3,300,"ما هو الإيقاع المميز لفن السامري؟","4/4","3/4","6/8","2/4",3,"2/4"
music-3-5,music,3,300,"من هو أول فنان كويتي يغني في الإذاعة؟","عبدالله فضالة","عوض دوخي","شادي الخليج","سعود الراشد",1,"عوض دوخي"
music-3-6,music,3,300,"ما اسم آلة النفخ الخشبية الشرقية؟","الناي","المزمار","الأرغن","الأكورديون",1,"المزمار"
jokes-1-1,jokes,1,100,"ما هو الشيء الذي كلما زاد نقص؟","المال","العمر","الماء","الطعام",1,"العمر"
jokes-1-2,jokes,1,100,"ما هو الشيء الذي يمشي بلا أرجل؟","الحصان","الساعة","السيارة","الدراجة",1,"الساعة"
jokes-1-3,jokes,1,100,"ما هو الشيء الذي يرى ولا عين له؟","المرآة","النافذة","الإبرة","الكاميرا",0,"المرآة"
jokes-1-4,jokes,1,100,"لماذا يذهب التلميذ للمدرسة؟","ليأكل","لينام","لأن المدرسة لا تأتي إليه","ليلعب",2,"لأن المدرسة لا تأتي إليه"
jokes-1-5,jokes,1,100,"ما هو الباب الذي لا يُفتح؟","باب البيت","باب الحمام","الباب المسدود","البواب",2,"الباب المسدود"
jokes-1-6,jokes,1,100,"شيء موجود في السماء وإذا أضفت حرفاً أصبح في الأرض؟","نجم/منجم","قمر/مقمر","شمس/مشمس","غيم/مغيم",0,"نجم/منجم"
jokes-2-1,jokes,2,200,"أنا لي أسنان ولا آكل، ما أنا؟","الحصان","المشط","المنشار","المفتاح",1,"المشط"
jokes-2-2,jokes,2,200,"ما هو الشيء الذي يدخل مبللاً ويخرج جافاً؟","المنشفة","الصابون","الخبز في الفرن","الملابس",2,"الخبز في الفرن"
jokes-2-3,jokes,2,200,"ما هو الشيء الذي له رقبة بلا رأس؟","الزرافة","القارورة","القميص","السلم",1,"القارورة"
jokes-2-4,jokes,2,200,"ما هو الشيء الذي لا يبتل مهما نزل المطر؟","الشمسية","البحر","السمكة","الحجر",1,"البحر"
jokes-2-5,jokes,2,200,"أخت خالك وليست خالتك، من هي؟","عمتك","جدتك","أمك","بنت خالك",2,"أمك"
jokes-2-6,jokes,2,200,"ما الشيء الذي تأكل منه ولا تأكله؟","الصحن","الملعقة","الشوكة","الكأس",0,"الصحن"
jokes-3-1,jokes,3,300,"ما هو العدد الذي إذا ضربته بنفسه أعطى نفس النتيجة إذا جمعته بنفسه؟","1","2","3","4",1,"2"
jokes-3-2,jokes,3,300,"أين يقع البحر بدون ماء؟","في الصحراء","على الخريطة","في الحلم","في الكتاب",1,"على الخريطة"
jokes-3-3,jokes,3,300,"ما هو الشيء الذي إذا أخذنا منه ازداد وكبر؟","الحفرة","المال","العلم","العمر",0,"الحفرة"
jokes-3-4,jokes,3,300,"ما الكلمة التي ينطقها كل سكان العالم بنفس اللفظ؟","ماما","بابا","آلو","أوكي",0,"ماما"
